[2025-03-30 21:45:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-03-30 21:45:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Started initializing JsonDatabase
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Started initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Successfully initialized JsonTable
[2025-03-30 21:45:47] [INFO] [JsonTable] Finished initializing JsonTable
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Successfully initialized JsonDatabase
[2025-03-30 21:45:47] [INFO] [JsonDatabase] Finished initializing JsonDatabase
[2025-03-30 21:45:48] [INFO] [AssetPool] Started initializing AssetPool
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-03-30 21:45:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-03-30 21:45:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Started initializing UnitDatabase
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Successfully initialized UnitDatabase
[2025-03-30 21:45:48] [INFO] [UnitDatabase] Finished initializing UnitDatabase
[2025-03-30 21:45:48] [INFO] [Component] Setting 0fbc5a7e-fc55-48e0-b5e9-1ec14d896128 on to 012a9d46-6aa3-47eb-ab04-af616bd4e5e0.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Givy into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 813601ec-23ff-4195-b5c3-b7f35b60ef1f on to a158d84f-bf67-4d90-84ac-02dadf0a51f5.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Zevgoe into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 7e93bd08-a570-4907-bf49-4913cbe4a90e on to 1ef02311-c8dc-4fa8-8c65-d2273363cae2.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Syyaxo into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 02a3293b-b279-4c8b-b83f-673aa3c919a0 on to dd738a70-7dd2-4e16-a05f-a5e9d7a54b88.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit enemy:Peby into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 434f81cb-d0d5-4198-bccf-f2e745b2b298 on to b476ebf7-edb9-4903-98a3-19cbe68c03dd.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Kisf into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 70124914-723c-49b4-9357-7a3e1f6fb1e2 on to 69e2462b-89a9-4a4a-9f3a-97cd1c9ea98b.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Keviu into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting 330296b7-f556-47a2-8b59-0db72612cb79 on to 458a9634-0bd8-43ea-953e-23a7fce7577c.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Kejcci into queue
[2025-03-30 21:45:48] [INFO] [Component] Setting fb1f89a6-a269-4d19-9c48-6b12e005779c on to 773e0ef2-9d2d-4510-8d68-03bfb4db1600.
[2025-03-30 21:45:48] [INFO] [SpeedQueue] Added unit user:Leley into queue
[2025-03-30 21:45:48] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-03-30 21:45:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-03-30 21:45:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:45:48] [INFO] [FontPool] Started initializing FontPool
[2025-03-30 21:45:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-03-30 21:45:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-03-30 21:45:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-03-30 21:45:49] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-03-30 21:45:49] [INFO] [InputHandler] Gliding main.camera camera to new tile 47e8712f-6040-4407-9921-f27eb45ca418
[2025-03-30 21:45:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-03-30 21:45:49] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-03-30 21:45:49] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-03-30 21:45:49] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,357
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,361
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,367
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,374
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,380
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,387
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,392
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,398
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,405
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,410
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,414
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,419
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,425
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,429
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,436
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,443
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,449
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,456
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,463
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,471
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,478
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,484
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,492
[2025-03-30 21:46:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,496
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,454
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,430
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,404
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,376
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,347
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,322
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,292
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,240
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,210
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,198
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 461,170
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 388,143
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 327,117
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 302,106
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 258,84
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 224,70
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 198,55
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 194,52
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 181,44
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 174,38
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 169,35
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 167,34
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 167,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 166,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 162,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 157,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 150,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 145,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 139,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 134,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 124,33
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 113,31
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 102,30
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 93,28
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 88,27
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 79,24
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 73,22
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 68,19
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 63,17
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 60,15
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 58,15
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 57,14
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 56,13
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 55,13
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 54,12
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 54,11
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,11
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,9
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,8
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,7
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,6
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 52,6
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 52,5
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 51,5
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 50,4
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 49,3
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 48,2
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 47,1
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 45,0
[2025-03-30 21:46:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 44,0
